"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Humidity Avg. (%)","Humidity Avg. Source Flag","Humidity Avg. Record Completeness (%)","Precip. Accumulated (mm)","Precip. Accumulated Source Flag","Precip. Accumulated Comment","Precip. (mm)","Precip. Source Flag","Precip. Comment","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)","Precip. Long Term (mm)","Precip. Long Term Source Flag","Air Temp. Avg. Long Term (°C)","Air Temp. Avg. Long Term Source Flag","Air Temp. Avg. Long Term Record Completeness (%)","Air Temp. Avg. Min. Long Term (°C)","Air Temp. Avg. Min. Long Term Source Flag","Air Temp. Avg. Min. Long Term Record Completeness (%)","Air Temp. Avg. Max. Long Term (°C)","Air Temp. Avg. Max. Long Term Source Flag","Air Temp. Avg. Max. Long Term Record Completeness (%)","Growing Degree Days Long Term (base 5°C) (GDD)","Growing Degree Days Long Term (base 5°C) Source Flag","Frost Probability 0°C (%)","Frost Probability 0°C Source Flag","Frost Probability 0°C Record Completeness (%)","ET. Std-Grass (mm)","ET. Std-Grass Source Flag","ET. Std-Grass Comment","Growing Degree Days (base 5°C) (GDD)","Growing Degree Days (base 5°C) Source Flag"
"Fincastle IMCIN","21-June-2018","12.6","ACTUAL","100.0","29.9","ACTUAL","100.0","21.0","AGGREGATED","100.0","62.1","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","14.2","AGGREGATED","100.0","55.9","COMPUTED","16.4","COMPUTED","","9.5","COMPUTED","","23.3","COMPUTED","","216.4","COMPUTED","0.0","COMPUTED","","6.5","COMPUTED","solar-ACT, 2m wind, Avg.","240.4","COMPUTED"
"Fincastle IMCIN","22-June-2018","14.4","ACTUAL","100.0","27.2","ACTUAL","100.0","20.1","AGGREGATED","100.0","60.7","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","17.2","AGGREGATED","100.0","57.6","COMPUTED","16.8","COMPUTED","","10.0","COMPUTED","","23.6","COMPUTED","","228.2","COMPUTED","0.0","COMPUTED","","6.3","COMPUTED","solar-ACT, 2m wind, Avg.","256.2","COMPUTED"
"Fincastle IMCIN","23-June-2018","13.5","ACTUAL","100.0","23.5","ACTUAL","100.0","17.6","AGGREGATED","100.0","76.1","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.8","AGGREGATED","100.0","58.6","COMPUTED","16.8","COMPUTED","","9.7","COMPUTED","","23.9","COMPUTED","","240.0","COMPUTED","0.0","COMPUTED","","4.0","COMPUTED","solar-ACT, 2m wind, Avg.","269.7","COMPUTED"
"Fincastle IMCIN","24-June-2018","13.8","ACTUAL","100.0","27.7","ACTUAL","100.0","20.7","AGGREGATED","100.0","69.1","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","8.1","AGGREGATED","100.0","60.5","COMPUTED","16.9","COMPUTED","","10.1","COMPUTED","","23.7","COMPUTED","","251.9","COMPUTED","0.0","COMPUTED","","5.6","COMPUTED","solar-ACT, 2m wind, Avg.","285.5","COMPUTED"
"Fincastle IMCIN","25-June-2018","12.8","ACTUAL","100.0","29.5","ACTUAL","100.0","21.8","AGGREGATED","100.0","56.5","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","20.2","AGGREGATED","100.0","63.1","COMPUTED","17.0","COMPUTED","","9.7","COMPUTED","","24.4","COMPUTED","","263.9","COMPUTED","0.0","COMPUTED","","7.1","COMPUTED","solar-ACT, 2m wind, Avg.","301.6","COMPUTED"
"Fincastle IMCIN","26-June-2018","10.2","ACTUAL","100.0","22.1","ACTUAL","100.0","17.4","AGGREGATED","100.0","37.3","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","25.7","AGGREGATED","100.0","65.3","COMPUTED","17.1","COMPUTED","","10.0","COMPUTED","","24.3","COMPUTED","","276.0","COMPUTED","0.0","COMPUTED","","7.0","COMPUTED","solar-ACT, 2m wind, Avg.","312.8","COMPUTED"
"Fincastle IMCIN","27-June-2018","5.6","ACTUAL","100.0","24.7","ACTUAL","100.0","16.4","AGGREGATED","100.0","49.5","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","15.1","AGGREGATED","100.0","66.9","COMPUTED","17.1","COMPUTED","","10.2","COMPUTED","","24.0","COMPUTED","","288.1","COMPUTED","0.0","COMPUTED","","5.7","COMPUTED","solar-ACT, 2m wind, Avg.","323.0","COMPUTED"
"Fincastle IMCIN","28-June-2018","10.7","ACTUAL","100.0","22.6","ACTUAL","100.0","16.9","AGGREGATED","100.0","55.2","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.2","AGGREGATED","100.0","68.9","COMPUTED","17.4","COMPUTED","","10.2","COMPUTED","","24.5","COMPUTED","","300.5","COMPUTED","0.0","COMPUTED","","4.4","COMPUTED","solar-ACT, 2m wind, Avg.","334.6","COMPUTED"
"Fincastle IMCIN","29-June-2018","8.4","ACTUAL","100.0","21.8","ACTUAL","100.0","15.6","AGGREGATED","100.0","66.1","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","12.8","AGGREGATED","100.0","72.3","COMPUTED","17.1","COMPUTED","","10.5","COMPUTED","","23.7","COMPUTED","","312.6","COMPUTED","0.0","COMPUTED","","4.7","COMPUTED","solar-ACT, 2m wind, Avg.","344.7","COMPUTED"
"Fincastle IMCIN","30-June-2018","8.5","ACTUAL","100.0","24.4","ACTUAL","100.0","17.0","AGGREGATED","100.0","57.7","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","18.4","AGGREGATED","100.0","74.0","COMPUTED","17.0","COMPUTED","","10.1","COMPUTED","","23.9","COMPUTED","","324.6","COMPUTED","0.0","COMPUTED","","5.9","COMPUTED","solar-ACT, 2m wind, Avg.","356.1","COMPUTED"
"Fincastle IMCIN","01-July-2018","10.2","ACTUAL","100.0","24.2","ACTUAL","100.0","16.8","AGGREGATED","100.0","57.2","AGGREGATED","100.0","42.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","13.8","AGGREGATED","100.0","75.5","COMPUTED","17.2","COMPUTED","","9.9","COMPUTED","","24.5","COMPUTED","","336.8","COMPUTED","0.0","COMPUTED","","5.6","COMPUTED","solar-ACT, 2m wind, Avg.","368.3","COMPUTED"
"Fincastle IMCIN","02-July-2018","7.0","ACTUAL","100.0","17.4","ACTUAL","100.0","12.5","AGGREGATED","100.0","77.0","AGGREGATED","100.0","46.1","AGGREGATED","using element [Precip. Weighing]","4.0","AGGREGATED","using element [Precip. Weighing]","9.2","AGGREGATED","100.0","76.5","COMPUTED","17.6","COMPUTED","","10.2","COMPUTED","","25.0","COMPUTED","","349.4","COMPUTED","0.0","COMPUTED","","3.2","COMPUTED","solar-ACT, 2m wind, Avg.","375.6","COMPUTED"
"Fincastle IMCIN","03-July-2018","8.5","ACTUAL","100.0","18.7","ACTUAL","100.0","12.6","AGGREGATED","100.0","75.6","AGGREGATED","100.0","46.1","AGGREGATED","using element [Precip. Weighing]","0.0","AGGREGATED","using element [Precip. Weighing]","11.3","AGGREGATED","100.0","78.2","COMPUTED","17.9","COMPUTED","","10.3","COMPUTED","","25.5","COMPUTED","","362.3","COMPUTED","0.0","COMPUTED","","3.5","COMPUTED","solar-ACT, 2m wind, Avg.","384.2","COMPUTED"
